AsofDate|1|2|3|4|5|OS|CUR|SM|NPL|NPL+|%Curr|%SM|%NPL|%NPL+
01-2019|1448|0.0|0.0|0.0|0.0|1448|1448|0|0|0|100.0|0.0|0.0|0.0
02-2019|931|0.0|0.0|0.0|0.0|931|931|0|0|0|100.0|0.0|0.0|0.0
03-2019|953|0.0|0.0|0.0|0.0|953|953|0|0|0|100.0|0.0|0.0|0.0
04-2019|658|0.0|0.0|0.0|0.0|658|658|0|0|0|100.0|0.0|0.0|0.0
05-2019|636|0.0|0.0|0.0|0.0|636|636|0|0|0|100.0|0.0|0.0|0.0
06-2019|215|0.0|0.0|0.0|0.0|215|215|0|0|0|100.0|0.0|0.0|0.0
07-2019|603|0.0|0.0|0.0|0.0|603|603|0|0|0|100.0|0.0|0.0|0.0
08-2019|589|0.0|0.0|0.0|0.0|589|589|0|0|0|100.0|0.0|0.0|0.0
09-2019|21|0.0|0.0|0.0|0.0|21|21|0|0|0|100.0|0.0|0.0|0.0
10-2019|255|0.0|0.0|0.0|0.0|255|255|0|0|0|100.0|0.0|0.0|0.0
11-2019|391|0.0|0.0|0.0|0.0|391|391|0|0|0|100.0|0.0|0.0|0.0
12-2019|44|0.0|0.0|0.0|0.0|44|44|0|0|0|100.0|0.0|0.0|0.0
